velocity,efficiency
0,0
0.1235,55.67928731
1.162967224,87.8607662
1.283783946,48.76285883
1.40308495,35.14998866
1.521208696,28.22928
1.63876388,24.03954805
1.787068227,21.23067398
2.008932776,19.21658024
2.090048829,17.7017473
2.0988,16.5210084
2.0988,17.24457379
2.142722408,17.96410815
2.254358528,18.67964511
2.366273579,19.39121788
2.478415385,20.0988593
2.591520401,20.80260188
2.706401338,21.50247774
2.823117391,22.19851865
2.942826421,22.89075607
3.075523077,23.93969272
3.251484615,24.98862937
3.506116388,26.03756602
3.815380268,27.08650267
4.180129097,28.13543932
4.612413043,29.18437597
5.181304348,30.23331262
5.375145485,31.28224927
5.41561204,32.33118592
5.737912375,34.0115412
6.098583946,35.69189649
6.512078261,37.37225177
6.990637458,39.05260705
7.481162207,40.73296233
7.94037592,42.41331762
8.344623077,44.0936729
8.697953846,45.77402818
9.018884615,47.45438346
9.334692308,48.8687824
9.647750836,50.28318134
9.962585619,51.69758028
10.27852074,53.11197921
10.9138204,54.52637815
11.33973244,55.94077709
11.36641739,57.35517603
11.374,58.76957496
11.40137124,60.1839739
11.73530033,60.59589898
12.06851639,61.00707511
12.40085418,61.41750432
12.7244214,61.82718865
13.04387926,62.23613008
13.35375518,62.64433072
13.65724314,63.05179254
13.9554291,63.45851754
14.24417592,63.86450771
14.53070502,64.17776509
14.81383478,64.49102247
15.09203144,64.80427985
15.37008863,65.11753723
15.88144816,65.43079461
16.2078,65.74405199
16.22848696,66.05730937
16.42333579,66.37056675
16.67767057,66.68382413
16.92628127,66.82621385
17.17096388,66.96860357
17.41131204,67.11099328
17.64748829,67.253383
17.88162074,67.39577272
18.11095217,67.53816244
18.33684214,67.68055216
18.56017559,67.82294187
18.78333645,67.96533159
19.00367692,67.70457381
19.21764615,67.44381603
19.5547388,67.18305825
19.93732274,66.92230047
19.95360301,66.66154269
20.04408127,66.40078491
20.24385117,66.14002713
20.43961271,65.87926935
20.63332742,65.61851157
20.82165217,65.78839432
21.01043846,65.95827706
21.19968127,66.12815981
21.38509532,66.29804256
21.56879532,66.4679253
21.74879632,66.63780805
21.92791438,66.8076908
22.10644649,66.97757354
22.2805388,67.14745629
22.50468829,67.04682275
22.82925318,66.94637069
22.93643211,66.84609963
22.96046522,66.74600907
23.13073478,66.64609848
23.29833579,66.54636748
23.46242375,66.44681553
23.62431438,66.34744214
23.78490569,66.24824684
23.94171037,66.36909771
24.09705518,66.48994857
24.25110569,66.61079944
24.2671,66.7316503
24.30814883,66.85250117
24.46464749,66.97335203
24.62003077,67.0942029
24.77475452,67.21505376
24.92448696,67.33590463
25.12180468,67.40173672
25.40352676,67.46768701
25.48890702,67.53375581
25.51267592,67.59994343
25.65558729,67.66625026
25.79785251,67.73267651
25.93935619,67.79922255
26.08020334,67.86588871
26.22017391,67.93267531
26.35702609,67.8807014
26.49408294,67.8287275
26.63130234,67.77675359
26.76416957,67.72477968
26.89573679,67.67280577
27.02499967,67.62083186
27.15530602,67.56885795
27.28847726,67.51688404
27.52533679,67.46491013
27.67409933,67.31902907
27.68389197,67.17288396
27.77893077,67.0264741
27.9014214,66.87979876
28.02138127,66.73285728
28.14021003,66.58564882
28.25784415,66.43817271
28.37443478,66.29042822
28.49004214,66.14241461
28.60277993,66.11576578
28.71312007,66.08862255
28.82175719,66.06097101
28.92591338,66.03279676
29.02939164,66.00408489
29.13190836,65.97481975
29.29621438,65.94498524
29.48007324,65.9145646
29.48766254,65.88354037
29.52987124,65.68841198
29.6208204,65.48762654
29.70574348,65.28093436
29.78816823,65.06807102
29.86589732,64.84875591
29.94155151,64.62269118
30.01524114,64.3895603
30.0843,64.14902687
30.15215418,63.9007325
30.21825452,63.73762264
30.28203244,63.57154574
30.34433813,63.40242013
30.4040097,63.23016106
30.48001505,63.05468065
30.58724448,62.87588769
